Z	species	charge_state	el_name	isoelectric	ground_shells	groud_level	ionized_level	ie	ie_err	reference
1	HI	0	Hydrogen	H	1s	2S1/2		13.598434599702	0.000000000012	HDEL
2	HeI	0	Helium	He	1s2	1S0	1s2S1/2	24.587389011	0.000000025	L17714
2	HeII	1	Helium	H	1s	2S1/2		54.417765486	0.000000025	L7188c95
3	LiI	0	Lithium	Li	1s22s	2S1/2	1s21S0	5.391714996	0.000000022	L12261
3	LiII	1	Lithium	He	1s2	1S0	1s2S1/2	75.6400970	0.0000012	L10054
3	LiIII	2	Lithium	H	1s	2S1/2		122.45435914	0.00000025	L3620c96
4	BeI	0	Beryllium	Be	1s22s2	1S0	2s2S1/2	9.322699	0.000007	L5964
4	BeII	1	Beryllium	Li	1s22s	2S1/2	1s21S0	18.21115	0.00004	L12158
4	BeIII	2	Beryllium	He	1s2	1S0	1s2S1/2	153.896205	0.000004	L10054
4	BeIV	3	Beryllium	H	1s	2S1/2		217.7185861	0.0000010	L3620c97
5	BI	0	Boron	B	1s22s22p	2P°1/2	2s21S0	8.298019	0.000003	L12312
5	BII	1	Boron	Be	1s22s2	1S0	2s2S1/2	25.15483	0.00005	L12120
5	BIII	2	Boron	Li	1s22s	2S1/2	1s21S0	37.93059	0.00007	L12547
5	BIV	3	Boron	He	1s2	1S0	1s2S1/2	259.3715	0.0025	L12548
5	BV	4	Boron	H	1s	2S1/2		340.2260229	0.0000025	L12548
6	CI	0	Carbon	C	1s22s22p2	3P0	2s22p2P°1/2	11.2602880	0.0000011	L20057
6	CII	1	Carbon	B	1s22s22p	2P°1/2	2s21S0	24.383154	0.000016	c190
6	CIII	2	Carbon	Be	1s22s2	1S0	2s2S1/2	47.88778	0.00025	L876c191
6	CIV	3	Carbon	Li	1s22s	2S1/2	1s21S0	64.49352	0.00019	L11667
6	CV	4	Carbon	He	1s2	1S0	1s2S1/2	392.090518	0.000025	L10054
6	CVI	5	Carbon	H	1s	2S1/2		489.993198	0.000006	L7188
7	NI	0	Nitrogen	N	1s22s22p3	4S°3/2	2p23P0	14.53413	0.00004	L1411
7	NII	1	Nitrogen	C	1s22s22p2	3P0	2p2P°1/2	29.60125	0.00009	L11770
7	NIII	2	Nitrogen	B	1s22s22p	2P°1/2	2s21S0	47.4453	0.0025	L11770
7	NIV	3	Nitrogen	Be	1s22s2	1S0	2s2S1/2	77.4735	0.0004	L7288,L876
7	NV	4	Nitrogen	Li	1s22s	2S1/2	1s21S0	97.8901	0.0004	L4829
7	NVI	5	Nitrogen	He	1s2	1S0	1s2S1/2	552.06733	0.00004	L10054
7	NVII	6	Nitrogen	H	1s	2S1/2		667.046121	0.000012	L7188
8	OI	0	Oxygen	O	1s22s22p4	3P2	2p34S°3/2	13.618055	0.000007	L74,L3760
8	OII	1	Oxygen	N	1s22s22p3	4S°3/2	2p23P0	35.12112	0.00006	L11267,L10621
8	OIII	2	Oxygen	C	1s22s22p2	3P0	2p2P°1/2	54.93554	0.00012	L11770
8	OIV	3	Oxygen	B	1s22s22p	2P°1/2	2s21S0	77.41350	0.00025	L648
8	OV	4	Oxygen	Be	1s22s2	1S0	2s2S1/2	113.8990	0.0005	L7288
8	OVI	5	Oxygen	Li	1s22s	2S1/2	1s21S0	138.1189	0.0021	L4713
8	OVII	6	Oxygen	He	1s2	1S0	1s2S1/2	739.32683	0.00006	L10054
8	OVIII	7	Oxygen	H	1s	2S1/2		871.409883	0.000025	L7188
9	FI	0	Fluorine	F	1s22s22p5	2P°3/2	2p43P2	17.42282	0.00005	L7481,L526
9	FII	1	Fluorine	O	1s22s22p4	3P2	2p34S°3/2	34.97081	0.00012	L369
9	FIII	2	Fluorine	N	1s22s22p3	4S°3/2	2p23P0	62.70798	0.00025	L11770
9	FIV	3	Fluorine	C	1s22s22p2	3P0	2p2P°1/2	87.175	0.017	L11770
9	FV	4	Fluorine	B	1s22s22p	2P°1/2	2s21S0	114.249	0.006	L11770
9	FVI	5	Fluorine	Be	1s22s2	1S0	2s2S1/2	157.16311	0.00025	L6491
9	FVII	6	Fluorine	Li	1s22s	2S1/2	1s21S0	185.1868	0.0006	L6335
9	FVIII	7	Fluorine	He	1s2	1S0	1s2S1/2	953.89805	0.00010	L10054
9	FIX	8	Fluorine	H	1s	2S1/2		1103.11748	0.00005	L7188
10	NeI	0	Neon	Ne	1s22s22p6	1S0	2p52P°3/2	21.564541	0.000007	L8826,L1407
10	NeII	1	Neon	F	1s22s22p5	2P°3/2	2p43P2	40.96297	0.00004	L1406
10	NeIII	2	Neon	O	1s22s22p4	3P2	2p34S°3/2	63.4233	0.0003	L9091
10	NeIV	3	Neon	N	1s22s22p3	4S°3/2	2s22p23P0	97.1900	0.0025	L11782
10	NeV	4	Neon	C	1s22s22p2	3P0	2p2P°1/2	126.247	0.012	L11744
10	NeVI	5	Neon	B	1s22s22p	2P°1/2	2s21S0	157.934	0.005	L9340
10	NeVII	6	Neon	Be	1s22s2	1S0	2s2S1/2	207.271	0.012	L9089
10	NeVIII	7	Neon	Li	1s22s	2S1/2	1s21S0	239.0970	0.0019	L9090
10	NeIX	8	Neon	He	1s2	1S0	1s2S1/2	1195.80784	0.00015	L10054
10	NeX	9	Neon	H	1s	2S1/2		1362.19916	0.00009	L7188
11	NaI	0	Sodium	Na	Ne3s	2S1/2	2p61S0	5.13907696	0.00000025	L10921,L9648
11	NaII	1	Sodium	Ne	1s22s22p6	1S0	2p52P°3/2	47.28636	0.00025	L914
11	NaIII	2	Sodium	F	1s22s22p5	2P°3/2	2p43P2	71.6200	0.0012	L5793,L2720
11	NaIV	3	Sodium	O	1s22s22p4	3P2	2p34S°3/2	98.936	0.012	L11770
11	NaV	4	Sodium	N	1s22s22p3	4S°3/2	2p23P0	138.404	0.012	L7482
11	NaVI	5	Sodium	C	1s22s22p2	3P0	2p2P°1/2	172.23	0.05	L11770
11	NaVII	6	Sodium	B	1s22s22p	2P°1/2	2s21S0	208.504	0.012	L11770
11	NaVIII	7	Sodium	Be	1s22s2	1S0	2s2S1/2	264.192	0.022	L11770
11	NaIX	8	Sodium	Li	1s22s	2S1/2	1s21S0	299.856	0.007	L16264c99
11	NaX	9	Sodium	He	1s2	1S0	1s2S1/2	1465.134502	0.000025	L13237
11	NaXI	10	Sodium	H	1s	2S1/2		1648.70220	0.00012	L7188
12	MgI	0	Magnesium	Mg	Ne3s2	1S0	3s2S1/2	7.646236	0.000004	L10635,L6969
12	MgII	1	Magnesium	Na	Ne3s	2S1/2	2p61S0	15.035271	0.000006	L10635
12	MgIII	2	Magnesium	Ne	1s22s22p6	1S0	2p52P°3/2	80.1436	0.0006	L4995,L1434
12	MgIV	3	Magnesium	F	1s22s22p5	2P°3/2	2p43P2	109.2654	0.0012	L4995,L2720
12	MgV	4	Magnesium	O	1s22s22p4	3P2	2p34S°3/2	141.33	0.03	L11770
12	MgVI	5	Magnesium	N	1s22s22p3	4S°3/2	2p23P0	186.76	0.06	L10635
12	MgVII	6	Magnesium	C	1s22s22p2	3P0	2p2P°1/2	225.02	0.06	L11770
12	MgVIII	7	Magnesium	B	1s22s22p	2P°1/2	2s21S0	265.924	0.019	L11770
12	MgIX	8	Magnesium	Be	1s22s2	1S0	2s2S1/2	327.99	0.04	L11770
12	MgX	9	Magnesium	Li	1s22s	2S1/2	1s21S0	367.489	0.007	L16264c99
12	MgXI	10	Magnesium	He	1s2	1S0	1s2S1/2	1761.80488	0.00020	L12128
12	MgXII	11	Magnesium	H	1s	2S1/2		1962.66366	0.00012	L7188
13	AlI	0	Aluminum	Al	Ne3s23p	2P°1/2	3s21S0	5.985769	0.000003	L7215,L10321
13	AlII	1	Aluminum	Mg	Ne3s2	1S0	3s2S1/2	18.82855	0.00005	L7215
13	AlIII	2	Aluminum	Na	Ne3s	2S1/2	2p61S0	28.447642	0.000025	L4714,L277
13	AlIV	3	Aluminum	Ne	1s22s22p6	1S0	2p52P°3/2	119.9924	0.0019	L4714,L2829
13	AlV	4	Aluminum	F	1s22s22p5	2P°3/2	2p43P2	153.8252	0.0025	L4714,L3565
13	AlVI	5	Aluminum	O	1s22s22p4	3P2	2p34S°3/2	190.49	0.05	L7215
13	AlVII	6	Aluminum	N	1s22s22p3	4S°3/2	2p23P0	241.76	0.09	L7215
13	AlVIII	7	Aluminum	C	1s22s22p2	3P0	2p2P°1/2	284.64	0.07	L11770
13	AlIX	8	Aluminum	B	1s22s22p	2P°1/2	2s21S0	330.21	0.04	L11770
13	AlX	9	Aluminum	Be	1s22s2	1S0	2s2S1/2	398.65	0.06	L11770
13	AlXI	10	Aluminum	Li	1s22s	2S1/2	1s21S0	442.005	0.007	L16264c99
13	AlXII	11	Aluminum	He	1s2	1S0	1s2S1/2	2085.97702	0.00020	L12128
13	AlXIII	12	Aluminum	H	1s	2S1/2		2304.14007	0.00025	L7188
14	SiI	0	Silicon	Si	Ne3s23p2	3P0	3p2P°1/2	8.15168	0.00003	L5815
14	SiII	1	Silicon	Al	Ne3s23p	2P°1/2	3s21S0	16.34585	0.00004	L5815
14	SiIII	2	Silicon	Mg	Ne3s2	1S0	3s2S1/2	33.49300	0.00009	L5815
14	SiIV	3	Silicon	Na	Ne3s	2S1/2	2p61S0	45.14179	0.00007	L5815,L6098
14	SiV	4	Silicon	Ne	1s22s22p6	1S0	2p52P°3/2	166.767	0.003	L3934
14	SiVI	5	Silicon	F	1s22s22p5	2P°3/2	2p43P2	205.279	0.005	c192
14	SiVII	6	Silicon	O	1s22s22p4	3P2	2p34S°3/2	246.57	0.05	c193
14	SiVIII	7	Silicon	N	1s22s22p3	4S°3/2	2p23P0	303.59	0.05	c193
14	SiIX	8	Silicon	C	1s22s22p2	3P0	2p2P°1/2	351.28	0.06	c193
14	SiX	9	Silicon	B	1s22s22p	2P°1/2	2s21S0	401.38	0.04	L11770
14	SiXI	10	Silicon	Be	1s22s2	1S0	2s2S1/2	476.273	0.019	c192
14	SiXII	11	Silicon	Li	1s22s	2S1/2	1s21S0	523.415	0.007	L16264c99
14	SiXIII	12	Silicon	He	1s2	1S0	1s2S1/2	2437.65815	0.00020	L12128
14	SiXIV	13	Silicon	H	1s	2S1/2		2673.17755	0.00025	L7188
15	PI	0	Phosphorus	P	Ne3s23p3	4S°3/2	3p23P0	10.486686	0.000015	L5148
15	PII	1	Phosphorus	Si	Ne3s23p2	3P0	3p2P°1/2	19.76949	0.00004	L11770
15	PIII	2	Phosphorus	Al	Ne3s23p	2P°1/2	3s21S0	30.20264	0.00009	L7147
