,cc,NZ,N,Z,A,el,o,mass,mass_err,binding,binding_err,B,beta,beta_err,u,atomic_mass,atomic_mass_err,umass,umass_err,precision
0,0,1,1,0,1,n,,8071.31713,0.00046,0.0,0.0,B-,782.347,0.0,1,8664.91582,0.00049,1.00866491582,4.9e-10,4.857906647835089e-10
1,,-1,0,1,1,H,,7288.97061,9e-05,0.0,0.0,B-,,,1,7825.03224,9e-05,1.00782503224,9e-11,8.930121511267217e-11
2,0,0,1,1,2,H,,13135.72176,0.00011,1112.283,0.0,B-,,,2,14101.77811,0.00012,2.01410177811,1.2e-10,5.957990867403236e-11
3,0,1,2,1,3,H,,14949.80993,0.00022,2827.265,0.0,B-,18.592,0.0,3,16049.28199,0.00023,3.01604928199,2.3e-10,7.625870086852333e-11
4,,-1,1,2,3,He,,14931.21793,0.00021,2572.68,0.0,B-,-13736.0,2000.0,3,16029.32265,0.00022,3.01602932265,2.2e-10,7.294358789811084e-11
5,,-3,0,3,3,Li,-pp,28667.0,2000.0,-2267.0,667.0,B-,,,3,30775.0,2147.0,3.030775,0.002147,0.0007083996667519033
6,0,2,3,1,4,H,-n,24621.127,100.0,1720.449,25.0,B-,22196.211,100.0,4,26431.868,107.354,4.026431868,0.00010735399999999999,2.6662316293787087e-05
7,,0,2,2,4,He,,2424.91561,6e-05,7073.915,0.0,B-,-22898.273,212.132,4,2603.25413,6e-05,4.00260325413,6e-11,1.4990244146254137e-11
8,,-2,1,3,4,Li,-p,25323.189,212.132,1153.76,53.033,B-,,,4,27185.562,227.733,4.027185562,0.00022773299999999998,5.654892144748904e-05
9,0,3,4,1,5,H,-nn,32892.444,89.443,1336.359,17.889,B-,21661.211,91.652,5,35311.493,96.02,5.035311493,9.601999999999999e-05,1.9069326720598174e-05
10,,1,3,2,5,He,-n,11231.233,20.0,5512.132,4.0,B-,-447.654,53.852,5,12057.224,21.47,5.012057224,2.147e-05,4.283670165853637e-06
11,,-1,2,3,5,Li,-p,11678.886,50.0,5266.132,10.0,B-,-25460.0,2003.0,5,12537.8,53.677,5.0125378,5.3676999999999994e-05,1.0708547674194098e-05
12,,-3,1,4,5,Be,x,37139.0,2003.0,18.0,401.0,B-,,,5,39870.0,2150.0,5.03987,0.00215,0.00042659830511501294
13,0,4,5,1,6,H,-3n,41875.721,254.127,961.639,42.354,B-,24283.626,254.127,6,44955.437,272.816,6.044955437,0.00027281599999999994,4.513118464532363e-05
14,,2,4,2,6,He,,17592.095,0.053,4878.519,0.009,B-,3505.216,0.053,6,18885.891,0.057,6.018885891,5.7e-08,9.470191166978547e-09
15,,0,3,3,6,Li,,14086.87895,0.00144,5332.331,0.0,B-,-4288.154,5.448,6,15122.88742,0.00155,6.01512288742,1.5499999999999998e-09,2.576838460344115e-10
16,,-2,2,4,6,Be,-,18375.033,5.448,4487.247,0.908,B-,-28945.0,2003.0,6,19726.409,5.848,6.0197264090000004,5.848e-06,9.714727219590486e-07
17,,-4,1,5,6,B,x,47320.0,2003.0,-467.0,334.0,B-,,,6,50800.0,2150.0,6.0508,0.00215,0.0003553249157136247
18,0,5,6,1,7,H,-nn,49135.0,1004.0,940.0,143.0,B-,23062.0,1004.0,7,52749.0,1078.0,7.052749,0.001078,0.0001528482014601682
19,,3,5,2,7,He,-n,26073.126,7.559,4123.057,1.08,B-,11166.021,7.559,7,27990.654,8.115,7.027990654,8.115e-06,1.1546685816067962e-06
20,,1,4,3,7,Li,,14907.10529,0.00423,5606.439,0.001,B-,-861.893,0.071,7,16003.43666,0.00454,7.01600343666,4.54e-09,6.470920433530014e-10
21,,-1,3,4,7,Be,,15768.999,0.071,5371.548,0.01,B-,-11907.551,25.15,7,16928.717,0.076,7.016928717,7.599999999999999e-08,1.0830949417495699e-08
