,cc,NZ,N,Z,A,el,o,mass,mass_err,binding,binding_err,B,beta,beta_err,u,atomic_mass,atomic_mass_err,umass,umass_err,precision,abundancy,halflife
0,0,1,1,0,1,n,,8071.31806,0.00044,0.0,0.0,B-,782.347,0.0004,1,8664.9159,0.00047,1.0086649159,4.699999999999999e-10,4.659624743472253e-10,0.0,881.5
1,,-1,0,1,1,H,,7288.971064,1.3e-05,0.0,0.0,B-,,,1,7825.031898,1.4e-05,1.007825031898,1.3999999999999999e-11,1.389130013335183e-11,99.972,inf
2,0,0,1,1,2,H,,13135.722895,1.5e-05,1112.2831,0.0002,B-,,,2,14101.777844,1.5e-05,2.014101777844,1.5e-11,7.447488585237626e-12,0.028,inf
3,0,1,2,1,3,H,,14949.8109,8e-05,2827.2654,0.0003,B-,18.59202,6e-05,3,16049.28132,8e-05,3.01604928132,8.000000000000001e-11,2.6524765525378722e-11,0.0,388800000.0
4,,-1,1,2,3,He,,14931.21888,6e-05,2572.68044,0.00015,B-,-13736.0,2000.0,3,16029.32197,6e-05,3.01602932197,6e-11,1.9893705794879143e-11,0.0,inf
5,,-3,0,3,3,Li,-pp,28667.0,2000.0,-2267.0,667.0,B-,,,3,30775.0,2147.0,3.030775,0.002147,0.0007083996667519033,0.0,0.0
6,0,2,3,1,4,H,-n,24621.129,100.0,1720.4491,25.0,B-,22196.2131,100.0,4,26431.867,107.354,4.026431867,0.00010735399999999999,2.666231630040891e-05,0.0,1.39e-22
7,,0,2,2,4,He,,2424.91587,0.00015,7073.9156,0.0002,B-,-22898.274,212.132,4,2603.25413,0.00016,4.00260325413,1.6000000000000002e-10,3.9973984390011036e-11,100.0,inf
8,,-2,1,3,4,Li,-p,25323.19,212.132,1153.7603,53.033,B-,,,4,27185.561,227.733,4.027185561,0.00022773299999999998,5.654892146153084e-05,0.0,9.1e-23
9,0,3,4,1,5,H,-nn,32892.447,89.443,1336.3592,17.8885,B-,21661.2131,91.6515,5,35311.492,96.02,5.035311492,9.601999999999999e-05,1.9069326724385295e-05,0.0,9.1e-16
10,,1,3,2,5,He,-n,11231.234,20.0,5512.1325,4.0,B-,-447.6529,53.8516,5,12057.224,21.47,5.012057224,2.147e-05,4.283670165853637e-06,0.0,7e-22
11,,-1,2,3,5,Li,-p,11678.887,50.0,5266.1325,10.0,B-,-25460.0,2003.0,5,12537.8,53.677,5.0125378,5.3676999999999994e-05,1.0708547674194098e-05,0.0,3.7e-22
12,,-3,1,4,5,Be,x,37139.0,2003.0,18.0,401.0,B-,,,5,39870.0,2150.0,5.03987,0.00215,0.00042659830511501294,0.0,0.0
13,0,4,5,1,6,H,-3n,41875.725,254.127,961.6395,42.3545,B-,24283.6294,254.1268,6,44955.437,272.816,6.044955437,0.00027281599999999994,4.513118464532363e-05,0.0,2.9e-22
14,,2,4,2,6,He,,17592.095,0.053,4878.5199,0.0089,B-,3505.2147,0.0532,6,18885.889,0.057,6.018885889,5.7e-08,9.470191170125372e-09,0.0,0.80692
